[MAIN] User Init Started...
[IMU] Starting Init...
[IMU] Init Complete
[HARDWARE] Starting FreeRTOS TCP-IP Stack
[HARDWARE] FreeRTOS TCP-IP Stack Init Complete
[MAIN] User Init Completed!
[MAIN] Starting 10ms task
prvIPTask started
[MAC] Starting Init...
[MAC] Got hardware revision 6
[MAC] Init Complete!
[HARDWARE] Network UP
[MAIN] Starting Server task
FREE 0x80010bf : 0x20005ec8 : 184 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20006588 : 264 
FREE 0x80010bf : 0x20005c88 : 104 
MALLOC 0x8001177 : 0x200047f0 : 112 
FREE 0x80010bf : 0x200047f0 : 128 
MALLOC 0x8001177 : 0x200047f0 : 112 
FREE 0x80010bf : 0x200047f0 : 128 
MALLOC 0x800ebb5 : 0x20005c88 : 264 
MALLOC 0x800ebb5 : 0x200070b8 : 1032 
FREE 0x80103b9 : 0x20005c88 : 264 
MALLOC 0x8001177 : 0x200074c0 : 880 
FREE 0x80010bf : 0x200074c0 : 880 
FREE 0x801034d : 0x200070b8 : 1032 
MALLOC 0x8001177 : 0x200070b8 : 1200 
FREE 0x80010bf : 0x200070b8 : 1200 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x8001177 : 0x200047f0 : 120 
FREE 0x80010bf : 0x200047f0 : 128 
MALLOC 0x8001177 : 0x200047f0 : 104 
FREE 0x80010bf : 0x200047f0 : 104 
MALLOC 0x800ebb5 : 0x200070b8 : 776 
FREE 0x80103b9 : 0x20006690 : 520 
MALLOC 0x800ebb5 : 0x20005c88 : 264 
MALLOC 0x800ebb5 : 0x20006588 : 520 
FREE 0x80103b9 : 0x20005c88 : 264 
MALLOC 0x8005471 : 0x200073c0 : 1496 
MALLOC 0x8001177 : 0x20006348 : 400 
FREE 0x80010bf : 0x20006348 : 400 
FREE 0x801034d : 0x20006588 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x800ebb5 : 0x20006588 : 776 
FREE 0x80103b9 : 0x20006898 : 520 
MALLOC 0x800ebb5 : 0x20005c88 : 264 
MALLOC 0x800ebb5 : 0x20006898 : 520 
FREE 0x80103b9 : 0x20005c88 : 264 
MALLOC 0x8005471 : 0x20007998 : 1496 
MALLOC 0x8001177 : 0x20006348 : 424 
FREE 0x80010bf : 0x20006348 : 440 
FREE 0x801034d : 0x20006898 : 520 
MALLOC 0x8001177 : 0x200047f0 : 104 
FREE 0x80010bf : 0x200047f0 : 104 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006aa0 : 520 
MALLOC 0x800ebb5 : 0x20005c88 : 264 
MALLOC 0x800ebb5 : 0x20006898 : 1032 
FREE 0x80103b9 : 0x20005c88 : 264 
MALLOC 0x8005471 : 0x20008278 : 1496 
MALLOC 0x8001177 : 0x20008850 : 904 
FREE 0x80010bf : 0x20008850 : 904 
FREE 0x801034d : 0x20006898 : 1040 
MALLOC 0x8001177 : 0x200047f0 : 112 
FREE 0x80010bf : 0x200047f0 : 128 
MALLOC 0x800ebb5 : 0x20006898 : 776 
FREE 0x80103b9 : 0x20006ca8 : 520 
MALLOC 0x800ebb5 : 0x20005c88 : 264 
MALLOC 0x800ebb5 : 0x20006ba0 : 520 
FREE 0x80103b9 : 0x20005c88 : 264 
MALLOC 0x8005471 : 0x20008850 : 1496 
MALLOC 0x8001177 : 0x20008e28 : 560 
FREE 0x80010bf : 0x20008e28 : 560 
FREE 0x801034d : 0x20006ba0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x800ebb5 : 0x20006ba0 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005c88 : 264 
MALLOC 0x8005471 : 0x20008e28 : 1496 
MALLOC 0x8001177 : 0x20005ec8 : 224 
FREE 0x80010bf : 0x20005ec8 : 224 
FREE 0x801034d : 0x20005c88 : 264 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20009400 : 1200 
FREE 0x80010bf : 0x20009400 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200047f0 : 112 
FREE 0x80010bf : 0x200047f0 : 128 
MALLOC 0x800ebb5 : 0x20005c88 : 264 
MALLOC 0x800ebb5 : 0x20009400 : 1032 
FREE 0x80103b9 : 0x20005c88 : 264 
MALLOC 0x8001177 : 0x20009808 : 880 
FREE 0x80010bf : 0x20009808 : 880 
FREE 0x801034d : 0x20009400 : 1032 
MALLOC 0x8001177 : 0x200047f0 : 120 
FREE 0x80010bf : 0x200047f0 : 128 
MALLOC 0x8001177 : 0x200047f0 : 120 
FREE 0x80010bf : 0x200047f0 : 128 
MALLOC 0x8001177 : 0x200047f0 : 104 
MALLOC 0x8001177 : 0x20005c88 : 120 
FREE 0x80010bf : 0x20005c88 : 120 
FREE 0x80010bf : 0x200047f0 : 104 
MALLOC 0x8001177 : 0x200047f0 : 112 
FREE 0x80010bf : 0x200047f0 : 128 
MALLOC 0x8001177 : 0x200047f0 : 104 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
FREE 0x80010bf : 0x200047f0 : 104 
